image_path,label,name,brand,notes,image_url
perfume_images\yk0ecj6khxahoop4borxipq5buem8vwesgz9v2apmsdu3ug3jj5fgysk02t5-w500-q85.jpg,Woody,Whisky,Evaflor,"Cedarwood, Pineapple, Musk, Bergamot, Clary Sage, Tonka Bean, Vanilla, Geranium, Lavender, Lily Of The Valley",
perfume_images\yigplkajv9a0q34c016pnxjdjbt0u3lqjph234st34m37ae0f6lge8ajyb5h-w500-q85.jpg,Floral,Sud Magnolia,Atelier Cologne,"Magnolia, Musk, Rose (Bulgaria), Bitter Orange, Saffron, Cedarwood (Atlas), Blackcurrant Bud, Sandalwood (New Caledonia)",
perfume_images\ck6rs4hlz9d60xmk4rfsi4izwn2rpm88oo0mduimtuc9kkqvipskn3bqxztr-w500-q85.jpg,Floral,Una Instinct,Natura,"Orange Blossom, Amber, Red Apple, Gardenia, Jasmine, Lily Of The Valley, Rose, Ylang-ylang, Bergamot, Grapefruit, Mandarin, Pear, Vanilla, Blackcurrant Bud, Musk, Patchouli, Sandalwood, Woody Notes",
perfume_images\7yrjlerrzrl40v7cijcjqhrhhnchanh1evlsg9hak9phb1ch3xxepbvppuv9-w500-q85.jpg,Floral,Udv Pour Elle Style,Ulric De Varens,"Freesia, Raspberry, Musk, Gardenia, Iris / Orris, Plum, Bergamot, Sandalwood",
perfume_images\eulu3p00tvdjk8vnlvajs0tw3h2grlgk53v2hoj0ekg4zssrjkbrhmkyeqm9-w500-q85.jpg,Floral,Musk Therapy,Initio Parfums Privé,"Musk, Magnolia, Mandarin, Rose, Bergamot, Blackcurrant Bud, Sandalwood",
perfume_images\ywkqxgghn8g8xkrqjwvvu73wc0wh6g6tmy7z0kspuvi1rz3hpznz78lqy0j5-w500-q85.jpg,Floral,Rose De Taif,Perris Monte Carlo,"Rose (Taif), Rose (Turkey), Lemon, Rose, Geranium, Nutmeg",
perfume_images\q2haqe7ynxatb7xi9yybumdntjwxvdosm2f2ytdqlqtw632gw1l5oyqjezev-w500-q85.jpg,Woody,Italian Leather,Memo,"Leather, Vanilla, Ciste Labdanum, Galbanum, Iris / Orris, Clary Sage, Sandalwood, Musk, Myrrh",
perfume_images\edrd3473xczgmby7x6q92zzo5y4w3fo6a0sqjy2slnwlx74n07fcaa715lr1-w500-q85.jpg,Woody,Boszporusz,Nishane Istanbul,"Oakmoss, Fresh Cut Grass, Gardenia, Patchouli, Galbanum, Amber, Jasmine, Musk, Clary Sage",
perfume_images\lra83mcfc2w3q66g6lkjeybesjkr6683e5xkthgp683mreq9so6l6mtccwpr-w500-q85.jpg,Floral,Extatic Eau De Parfum,Balmain,"Orchid, Osmanthus, Leather, Iris / Orris, Jasmine, Rose (Bulgaria), Cashmeran (Woody musky), Pear",
perfume_images\00152_Eye_Hatshepsut_Eau_de_Parfum.jpg,Amber_Oriental,"Eye, Hatshepsut Eau de Parfum",Charenton Macerations,"Papyrus, blue lotus, smoke, burnt tallow, kohl, cinnamon, honeyed wine, orris butter, patchouli, incense, labdanum, Egyptian musk",https://static.luckyscent.com/images/products/67303.jpg?width=400&404=product.png
perfume_images\0wug3tdv2k6mcvgm4ahtvhmhrsjmq4jt9fz6pkreyclfalmksp2zh7fbu60c-w500-q85.jpg,Floral,Musk 01,Swiss Arabian,"Musk, Lily, Pink Pepper, Orange Blossom, Bergamot, Elemi, Sandalwood, Tonka Bean, Vanilla",
perfume_images\8ava4j106bgc4m589kh3jvhj5ke1xzc0gjy4sg28u52b05zb4olgih6bkl3l-w500-q85.jpg,Floral,Royal Apricot,The Library Of Fragrance,Apricot,
perfume_images\f5zft16v6ufo9rg3oa879969yvor1j37gh0mckpa0zqgpca8zpz05wvjmzz1-w500-q85.jpg,Floral,Gulbadan,Tola,"Rose (Turkey), Jasmine, Orchid, Gardenia, Iris / Orris, Lily Of The Valley, Orange Blossom, Ylang-ylang, Anise, Geranium, Nutmeg, Oud / Agarwood, Ambergris, Cedarwood, Musk, Oakmoss, Patchouli, Sandalwood, Vanilla, Vetiver",
perfume_images\l497tnrmsrgo5uskikuwypl2ljzvr0j9p2br9gsx8imxv8l3idzasbkqogg7-w500-q85.jpg,Floral,Summer White Sunrise,Avon,"Orange Blossom, Mandarin, Musk, Orchid, Rose, Pear",
perfume_images\2d6zg5wvfpjkl4cdlwmxkjf0m30f2il8liycpihj4kb5zm2bm5r1l8aykxqw-w500-q85.jpg,Woody,Majestic Leather,4711,"Leather, Saffron, Tobacco Leaf, Cypriol / Nagarmota, Rose, Clove, Patchouli, Plum, Vanilla",
perfume_images\yc86i92a6tgj1cpzxlnre0xfxe0khrbae1b2lpagtf9zbk444as2faivevhn-w500-q85.jpg,Citrus,Orange Peel 2021,Jo Malone London,"Bitter Orange, Cashmeran (Woody musky), Lavender, Patchouli, Pink Pepper, Rhubarb, Clary Sage",
perfume_images\od7vyjt2i1cj64chcr2hbzrxjtbthx99f6krswgtcnczjn0095kajmuxdfxw-w500-q85.jpg,Floral,Champ De Fleurs,L'Artisan Parfumeur,"Jasmine, Lily Of The Valley, Pear, Cedarwood, Musk, Grapefruit, Amber",
perfume_images\hr9t6bzewf7v1pi4iegz5kiei4mioxe9ipqlvtx8554blkyo1kqeluti0jnq-w500-q85.jpg,Woody,Eutopie Nº 6,Eutopie,"Leather, Geranium, Patchouli, Cedarwood, Ciste Labdanum, Cypriol / Nagarmota, Musk",
perfume_images\9q9cdmbqsd345dvxlmkno9yjmrtjvdzydnn41ad9w34i80511gnkwhethpn4-w500-q85.jpg,Floral,Mathilde,Rancé 1795,"Iris / Orris, Passion Fruit, Vanilla (Bourbon), Jasmine, Lily Of The Valley, Narcissus, Palisander Rosewood, Rose, Ylang-ylang, Angelica, Musk, Neroli, Sandalwood, Tangerine, Violet Leaves",
perfume_images\17o6z5c1flndky8h2allgf3g7s2e5g1te19og3g0gity7kat40jojkxosowj-w500-q85.jpg,Woody,Autentica,Furla,"Patchouli, Raspberry, Pear, Cashmeran (Woody musky), Lily Of The Valley, Mandarin, Musk, Peony",
perfume_images\mnmyvde6wwmtkoo461ozzhmpdo5g64z5y8v07iqo6ptckg25ujfskob104w1-w500-q85.jpg,Floral,Classique Eau Fraîche,Jean Paul Gaultier,"Orange Blossom, Ciste Labdanum, Tiare, Ginger, Candy, Musk, Vanilla",
perfume_images\5uyd0dbbdmc35nz4zxqei8fkrnr5nbzg17oijcbo7nbtalg2p1pa7fujs1s2-w500-q85.jpg,Fresh,Version Sport,Jacques Saint Près,"Clary Sage, Lavender, Leather, Lime, Cedarwood, Bergamot, Patchouli, Pink Pepper, Tonka Bean, Green Apple",
perfume_images\xg3eoxgq50am45ly6etkre5uvsiuj9m0d19o2wjfj0w2739zk70rkojvucr1-w500-q85.jpg,Woody,Durocaffè,Bois 1920,"Coffee, Patchouli, Rose Damascena, Amber, Vanilla",
perfume_images\dhazr503mu5hxz8bgbzy44ntpiues0mq8tbw15q8qyikvtvruz9ygny180t8-w500-q85.jpg,Woody,Oud Grandeur,Avon,"Oud / Agarwood, Lily, Spicy Notes",
perfume_images\91ha2t26w2p2wwkiuct6yy3kxx50a7hi8es594ql0dhoq2f5o9d0as7yz326-w500-q85.jpg,Woody,Hot Couture Eau De Parfum,Givenchy,"Vetiver, Magnolia, Raspberry, Sandalwood, Amber, Tuberose",
perfume_images\zzqzqcdow2qkqapqxjebmrz37hdsqln3k0kw483vqw3zwtb05x505rh8olse-w500-q85.jpg,Floral,Stories : Cloud Nine,Avon,"Peony, Bergamot",
perfume_images\00696_Aenotus_Parfum_Extrait.jpg,Citrus,Aenotus Parfum Extrait,Puredistance,"Orange, mandarin, lemon, yuzu, mint, blackcurrant bud, petitgrain, oakmoss, patchouli, musks",https://static.luckyscent.com/images/products/53022.jpg?width=400&404=product.png
perfume_images\1i9px4p4e1artrjc7t7qinv2l7kfx2ub7kxzu9de8wjksehz1xlvcq75fo0l-w500-q85.jpg,Woody,Tasman Santal,Première Note,"Sandalwood (Australia), Bergamot, Vetiver (Java), Guaiac Wood, Saffron, Ciste Labdanum, Mandarin, Benzoin (Sumatra)",
perfume_images\8gj7tlt5ilicgc84b23nwa42a6tfq1vtewke474izi6fui8sbyoghf0ih00v-w500-q85.jpg,Floral,Today Tomorrow Always In Bloom,Avon,"Jasmine, Citruses, Musk, Orange Blossom, Woody Notes",
perfume_images\8uorfpstuerm8by01881zby1ws7o5dqle4tqz0oflk885t37acy3zxmatvgw-w500-q85.jpg,Fresh,Le Sien,Jean Patou,"Bergamot, Vetiver, Lavender, Amber, Ciste Labdanum, Leather, Musk, Oakmoss, Sandalwood, Tonka Bean",
perfume_images\e5nosnnopnjbtwb0rimdeb10nucnb9uqdpzaeudwwvjb3uhfjzf8hz9q7vwq-w500-q85.jpg,Woody,Soir De Lune,Sisley,"Jasmine, Rose (Grasse), Lily Of The Valley, Patchouli (Indonesia), Bergamot, Iris / Orris, Mimosa, Peach, Coriander, Lemon, Mandarin, Musk, Nutmeg, Sandalwood",
perfume_images\x7kr23bf0rf51i8oamt9tzynvqn8un4b1bs560c76qys3rtrx874ao35uu3c-w500-q85.jpg,Fresh,Club,Sergio Tacchini,"Yuzu, Lavender, Bergamot, Musk",
perfume_images\4r3fooo0lykk7f7g785g23xdz0gq3beeaztuyrnzc6rlfhuh7f8hrqw4tneg-w500-q85.jpg,Amber_Oriental,Egg Nog,Demeter Fragrance Library,"Cinnamon, Nutmeg",
perfume_images\tjlyik35gdoib37nfx6l3oomz649tn4n613w5qh4j380axmae0a0f1t6gnve-w500-q85.jpg,Woody,Mauboussin Cristal Oud For Men,Mauboussin,"Oud / Agarwood, Incense / Olibanum, Rose",
perfume_images\95u594qftg4g4ndmpk5mhnh3dtbt7vvjkxbhfhvv6uk92ns9l3ckzvvsbfb9-w500-q85.jpg,Floral,N°19 Sg79|Sthlm,Sg79|Sthlm,"Freesia, Grapefruit, Musk, Floral Notes, Palisander Rosewood, Cedarwood, Geranium, Green Notes, Mint, Patchouli, Sandalwood, Spicy Notes",
perfume_images\irw31lrj358s82xvtq2fh5elz5g9idx0s6frunu3ye3r9j5y2yp73ftv2vf0-w500-q85.jpg,Floral,Gifted,Chris Adams,"Bergamot, Jasmine, Vanilla, Iris / Orris, Lemon, Rose, Ylang-ylang, Amber, Coumarin (Tonka Bean note), Musk, Patchouli, Pink Pepper, Praline",
perfume_images\01327_Tea_for_Two_Eau_de_Toilette.jpg,Sweet,Tea for Two Eau de Toilette,L'Artisan Parfumeur,"Ginger, cinnamon, green anise, honey, vanilla",https://static.luckyscent.com/images/products/15200.jpg?width=400&404=product.png
perfume_images\6dyyqr7gbem1y87l8mpzzpr3oil4p8h0jgzc87gixc1qwd4p8iipmpe1uuag-w500-q85.jpg,Woody,Equid,Alexandre.J,"Amber, Bergamot, Patchouli, Cedarwood, Vetiver, Coffee, Grapefruit, Musk",
perfume_images\kh53fpdhv0c16cxqxxtx8kkxqlkl0yn63kwwji531vq4zexsj6qlokrvga66-w500-q85.jpg,Floral,Bien-Être Mandarine Fleur De Cotton Musc Blanc,Bien-Être,"Musk, Tangerine",
perfume_images\4ik981atd6t2dfkidypyffuiefdu7um6qd4kx6j7dio7t5rsh6f31sjyi122-w500-q85.jpg,Citrus,Ruby,Birthstone Scents,"Raspberry, Violet",
perfume_images\bcc0afq0ryujbeeg4473aem507yb6ghefxu5ipfyo3ubdii949ujh5flcmej-w500-q85.jpg,Sweet,Hypnotic Poison,Dior,"Tonka Bean, Jasmine (Sambac), Vanilla, Orange Blossom",
perfume_images\ppvsd7n1hsdcns83m5brzpihseaf3wgpdkakocx51ejj3ybgfy3blrdiu6ep-w500-q85.jpg,Floral,British Rose,The Body Shop,"Rose, Tangerine, Musk, Peony, Bergamot, Peach",
perfume_images\ok8xbbi20uj0c9sjw1gcwbg01y36i7cwp3tjmvss1k8zle1jy02qvxmvafwt-w500-q85.jpg,Fresh,Jv X Nj Crimson Red Edition,John Varvatos,"Lavender, Rum, Vetiver, Ciste Labdanum, Ambergris, Bergamot, Coffee, Leather, Musk, Saffron",
perfume_images\3z7irhf9hvzjc3yjsasn35csac9unzc9e0uzxgbcvhn8s9nzu1unzqsvxmtb-w500-q85.jpg,Amber_Oriental,Silver Moon,Pacifica,"Vanilla, Spicy Notes",
perfume_images\7233l9247jq4ziz08pwkl8jggb6yk5zw9sp19hui9jtjtsk6ibsckmm4do8h-w500-q85.jpg,Floral,Secret Rendezvous,Birkholz,"Heliotrope, Orange Blossom, Musk, Jasmine, Rose, Cedarwood, Patchouli, Vetiver",
perfume_images\d8ksgc0b665lemmi6yl2g929w8aem9c7i9mcqeaq9a2u92143ce3g68jydrk-w500-q85.jpg,Fresh,Gravity 0,Playboy,Lavandin,
perfume_images\nw8ght3hlzsqnz0mlxzgozdot6avb7ls3cejnttql7ad6a97q9839dxp99ky-w500-q85.jpg,Fresh,Str8 Live True,Str8,"Lavender, Marine, Geranium, Amber, Pineapple",
perfume_images\pveso94k9h8t8j5na07l8bwnztue0u06vfh0k50vkjpd84qk05jdpl03tv8b-w500-q85.jpg,Floral,Palais Royal,Boulevard,"Rose, Lychee, Benzoin, Incense / Olibanum, Patchouli, Praline, Vanilla",
perfume_images\vbkr3kd89uldl84th0sujqz5m2iyc84u9ydxu64r80v3rebfu2ppifddsst1-w500-q85.jpg,Woody,Ck In2U Him,Calvin Klein,"Lime, Vetiver, Cedarwood, Cocoa, Musk, Tangerine",
perfume_images\crx25l6whh9pyhc1a918qoex3lqme6vhj4ziu15aqbu5q610sg2se7le83zw-w500-q85.jpg,Woody,Tharros,Korres,"Sandalwood, Lavender, Black Pepper, Cedarwood, Amber, Apple, Coriander, Lemon, Musk, Clary Sage",
perfume_images\77q8z7ngxk5gx4c965axhtv6bj1mfyqja0fy28m37pc9he5wlznytcf7bbo6-w500-q85.jpg,Floral,Milieu Rosa,Odin New York,"Rose (Grasse), Rose (Morocco), Vetiver, Jasmine, Mimosa, Rose (Turkey), Raspberry, Blackcurrant Bud",
perfume_images\tdgn32wlw3fbpe0t5kkj6xvp35llj7hq7v3oxtz0ug7qvq2ozrlpfwngls7v-w500-q85.jpg,Woody,Ultrahot,J.U.S,"Incense / Olibanum, Leather, Habanolide (Musk), Iso E Super (Cedarwood Note), Cedarwood (Atlas), Amber, Elemi, Iris / Orris, Vanilla (Bourbon), Safraleine (Saffron), Muscenone (Musk)",
perfume_images\fupt06ykn19pa7yn8wylv7v2357we8pun810gzjreraz6jmcqdestlm0jqie-w500-q85.jpg,Woody,Extreme Night,Michael Kors,"Sandalwood, Black Pepper, Cedarwood, Tonka Bean, Vanilla, Bergamot, Iris / Orris, Musk, Nutmeg, Clary Sage",
perfume_images\xbk46vadvakgq9wbjv1x9d7q3ltlxgkogw7crqfwt6mgg9osstbe2uw5r2wf-w500-q85.jpg,Floral,Jebel 2019,Xerjoff,"Iris (Florentine/Tuscany), Musk, Anise, Geranium, Cedarwood (Atlas), Ambrette Seed",
perfume_images\036v9ra0rc68b408fnpbuva1vr93eh99hgzwu3q12pph99f1wnu6pqneina4-w500-q85.jpg,Floral,Hello Kitty,Givenchy,"Jasmine, Musk, Vanilla, Freesia, Lily Of The Valley, Magnolia, Rose, Amber, Cedarwood, Mandarin, Pepper, Sandalwood, Blackcurrant Bud",
perfume_images\tlgv6jwntjhay0mpet2zjebrgujysq7unliorhlvg03cwwpomc34fg578f2c-w500-q85.jpg,Woody,I Am Dance,Roads,"Cedarwood, Mandarin, Amber, Lemon, Apple, Lavandin, Marine, Patchouli, Pineapple",
perfume_images\mwa4lg3hzipzrf8qmk29r4cw1c1ak469gyum9rpqpx7oytfzv756dfxktadz-w500-q85.jpg,Floral,Dama Da Noite,L'Occitane,"Night Blooming Jasmine, Mandarin, Sandalwood, Geranium, Tonka Bean, Vanilla, Patchouli, Pear",
perfume_images\ckmyqx18jiois1bho1dahzl5wqnqdtlmsytsvr02riodhz207zqz5x39p1wr-w500-q85.jpg,Floral,Doline Kiss,Via Paris,"Lily Of The Valley, Plum, Musk, Jasmine, Narcissus, Rose, Peach, Raspberry, Strawberry, Cedarwood",
perfume_images\e3wczfwkwa5cmz8ac54x6edqtodcm6g6vwc82cos90djjeb6r5xrf8qnu7ph-w500-q85.jpg,Woody,More Is More,Wilgermain,"Leather, Osmanthus (China), Ambrette Seed, Patchouli, Rose, Clary Sage, Vetiver",
perfume_images\yz0r6vx99nhs2afbni7rarkfsxfad9pjmt3008f82k1iwfa2wwmv6dysn555-w500-q85.jpg,Woody,Ls & You Live,Jequiti,"Sandalwood, Bergamot, Vetiver, Nutmeg, Violet, Musk, Plum",
perfume_images\a1523o7ws2s1cqxxkmuvcy40i8akftegn4m5vq7c3b8jelaupwoaksufv8s1-w500-q85.jpg,Floral,Rare Pearls Intense,Avon,"Magnolia, Palisander Rosewood",
perfume_images\a2wen4zzjcq5k0mb9zjlalwr8lmtgzdad20q1gapfp2bow7lhhd5vjtshtj5-w500-q85.jpg,Woody,Arabian Kokeshi : Oud,Kokeshi Parfums,"Oud / Agarwood, Cedarwood, Tobacco Leaf, Tonka Bean",
perfume_images\im5oct45ajcsdmyveuvf2s7ejo42f05y7gvexs802qo4mpp715wze5x1y7mr-w500-q85.jpg,Woody,Infinite Moment For Him,Avon,"Cashmeran (Woody musky), Cardamom, Lavender, Cedarwood, Vetiver, Grapefruit, Musk, Nutmeg, Suede",
perfume_images\uknrbtvtozb66gk27i8s8rz320urc50im5tdcn1jj5peke7buuu2339ur7r7-w500-q85.jpg,Floral,Replica : Lazy Sunday Morning Lunar New Year 2021,Maison Margiela,"Orange Blossom, Musk, Aldehyde, Iris / Orris, Lily Of The Valley, Rose, Ambrette Seed, Pear, Patchouli (Indonesia)",
perfume_images\69b3rnxyv8rga2hw1ap98vf135yratd7vg8oibsm1bke5mx3uobomhc15gd0-w500-q85.jpg,Floral,Tommy Girl Summer 2005,Tommy Hilfiger,"Floral Notes, Honeysuckle, Grapefruit, Mandarin, Aldehyde",
perfume_images\y5ylf64wckryxke3ibdwger7x6cizvvgft6pkktvquwzx2825x6eqfqrjduu-w500-q85.jpg,Citrus,White Shirt,Scent Library,"Lime, Jasmine, Aldehyde, Cedarwood, Juniper Berries, Lily, Cashmeran (Woody musky), Marine, Rhubarb",
perfume_images\b5q1caof6vh3izr08ml4vybabb4iu4ksru9t9xn0fpywt8c4j7inolgpac6b-w500-q85.jpg,Sweet,Friends World For Her Tropical Sorbet 2020,Oriflame,"Cedarwood, Lily Of The Valley, Rose, Lemon, Musk, Rhubarb",
perfume_images\30o5tzalgd5fo8j499sq77lctdko0vdlzxviogr78oce16zzmhoggjwejh27-w500-q85.jpg,Woody,Ice Wine,Kelly + Jones,"Fruity Notes, Musk",
perfume_images\56mbzhodpdpnt2vgxzqv2l0ho5canly20s2cvi0daryll4o9s08vs0p9fexl-w500-q85.jpg,Woody,Vanille Patchouli,Molinard,"Patchouli, Vanilla, Benzoin, Sandalwood, Musk",
perfume_images\00622_Gardens_of_India_Eau_de_Parfum.jpg,Floral,Gardens of India Eau de Parfum,Parle Moi de Parfum,"Jasmine, tuberose, sandalwood",https://static.luckyscent.com/images/products/76713.jpg?width=400&404=product.png
perfume_images\32khdwsvrbyu1td8wagcwm1a1p2d9y4tatozgkswrnxc2ozebj4b2sp7v24q-w500-q85.jpg,Spicy,Orbiter,Ajmal,"Amber, Cinnamon, Nutmeg, Cardamom, Lavender, Musk, Patchouli, Vetiver",
perfume_images\9bxkc86eaf4u65aqpb4z1b75fam4zc5kis998sd91gsddg4viqhmhi0frnq2-w500-q85.jpg,Floral,Eau My Bb Eau De Senteur,Eau My Bb,"Heliotrope, Orange Blossom, Neroli, Rose, Violet, Bergamot, Musk, Petitgrain, Vanilla",
perfume_images\z20z5ce7syzfdkwq4swoip5xz6jaksnhegmuv3zmcj7ozjydsxho9ern99r1-w500-q85.jpg,Floral,Rose Morning,Fresh,"Rose, Rose (Bulgaria), Musk, Freesia, Amber, Violet Leaves, Blackcurrant Bud",
